"name","parent","type","size"
"D:\Documents\GB\python_spec",D:\Documents\GB,"dir",131651675
"D:\Documents\GB\python_spec\.git","D:\Documents\GB\python_spec","dir",180506
"D:\Documents\GB\python_spec\.git\COMMIT_EDITMSG","D:\Documents\GB\python_spec\.git","file",17
"D:\Documents\GB\python_spec\.git\config","D:\Documents\GB\python_spec\.git","file",367
D:\Documents\GB\python_spec\.git\description,"D:\Documents\GB\python_spec\.git","file",73
"D:\Documents\GB\python_spec\.git\FETCH_HEAD","D:\Documents\GB\python_spec\.git","file",213
"D:\Documents\GB\python_spec\.git\HEAD","D:\Documents\GB\python_spec\.git","file",25
"D:\Documents\GB\python_spec\.git\hooks","D:\Documents\GB\python_spec\.git","dir",23442
"D:\Documents\GB\python_spec\.git\hooks\applypatch-msg.sample","D:\Documents\GB\python_spec\.git\hooks","file",478
"D:\Documents\GB\python_spec\.git\hooks\commit-msg.sample","D:\Documents\GB\python_spec\.git\hooks","file",896
"D:\Documents\GB\python_spec\.git\hooks\fsmonitor-watchman.sample","D:\Documents\GB\python_spec\.git\hooks","file",4655
"D:\Documents\GB\python_spec\.git\hooks\post-update.sample","D:\Documents\GB\python_spec\.git\hooks","file",189
"D:\Documents\GB\python_spec\.git\hooks\pre-applypatch.sample","D:\Documents\GB\python_spec\.git\hooks","file",424
"D:\Documents\GB\python_spec\.git\hooks\pre-commit.sample","D:\Documents\GB\python_spec\.git\hooks","file",1643
"D:\Documents\GB\python_spec\.git\hooks\pre-merge-commit.sample","D:\Documents\GB\python_spec\.git\hooks","file",416
"D:\Documents\GB\python_spec\.git\hooks\pre-push.sample","D:\Documents\GB\python_spec\.git\hooks","file",1374
"D:\Documents\GB\python_spec\.git\hooks\pre-rebase.sample","D:\Documents\GB\python_spec\.git\hooks","file",4898
"D:\Documents\GB\python_spec\.git\hooks\pre-receive.sample","D:\Documents\GB\python_spec\.git\hooks","file",544
"D:\Documents\GB\python_spec\.git\hooks\prepare-commit-msg.sample","D:\Documents\GB\python_spec\.git\hooks","file",1492
"D:\Documents\GB\python_spec\.git\hooks\push-to-checkout.sample","D:\Documents\GB\python_spec\.git\hooks","file",2783
"D:\Documents\GB\python_spec\.git\hooks\update.sample","D:\Documents\GB\python_spec\.git\hooks","file",3650
"D:\Documents\GB\python_spec\.git\index","D:\Documents\GB\python_spec\.git","file",10212
"D:\Documents\GB\python_spec\.git\info","D:\Documents\GB\python_spec\.git","dir",240
"D:\Documents\GB\python_spec\.git\info\exclude","D:\Documents\GB\python_spec\.git\info","file",240
"D:\Documents\GB\python_spec\.git\logs","D:\Documents\GB\python_spec\.git","dir",29482
"D:\Documents\GB\python_spec\.git\logs\HEAD","D:\Documents\GB\python_spec\.git\logs","file",14150
"D:\Documents\GB\python_spec\.git\logs\refs","D:\Documents\GB\python_spec\.git\logs","dir",15332
"D:\Documents\GB\python_spec\.git\logs\refs\heads","D:\Documents\GB\python_spec\.git\logs\refs","dir",9929
"D:\Documents\GB\python_spec\.git\logs\refs\heads\homework","D:\Documents\GB\python_spec\.git\logs\refs\heads","file",4082
